epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.24485,2.11581,3.41951,1.49561,0.59766,0.49106,0.38451,0.32649,0.57395,2.70069,0.86903,0,0,0
2,8.88558,2.52608,3.56409,2.05117,0.59434,0.51291,0.37558,0.31699,0.57111,2.70381,0.8689,1.40542e-05,1.40542e-05,1.40542e-05
3,9.40354,2.13323,3.42329,1.8139,0.59059,0.51487,0.37614,0.31773,0.57222,2.69258,0.86857,2.76369e-05,2.76369e-05,2.76369e-05
4,9.87099,2.30218,3.25421,1.60868,0.57937,0.53186,0.37203,0.31602,0.567,2.68981,0.86694,4.07479e-05,4.07479e-05,4.07479e-05
5,10.3442,1.8615,3.12637,1.45061,0.56811,0.55109,0.3664,0.30869,0.57091,2.68387,0.86782,5.33874e-05,5.33874e-05,5.33874e-05
6,10.9341,2.51505,3.42437,1.84285,0.51159,0.37377,0.40564,0.25952,0.95327,2.73328,0.95705,6.55554e-05,6.55554e-05,6.55554e-05
7,11.6499,1.58107,2.78497,1.37324,0.37053,0.44638,0.5334,0.29159,1.37423,2.30376,1.05489,7.72517e-05,7.72517e-05,7.72517e-05
8,12.5633,1.64517,2.15676,1.26598,0.52499,0.7883,0.72878,0.30826,1.86565,1.85977,1.2322,8.84765e-05,8.84765e-05,8.84765e-05
9,13.2951,1.59894,1.83892,1.27624,0.77015,0.84265,0.89598,0.34163,2.03961,2.04651,1.34987,9.92298e-05,9.92298e-05,9.92298e-05
10,14.0925,1.27427,1.559,1.0773,0.80223,0.88148,0.87958,0.38414,1.81713,3.03807,1.26688,0.000109511,0.000109511,0.000109511
11,14.8891,1.2455,1.73745,1.04122,0.78448,0.87021,0.85344,0.43708,1.51977,3.32372,1.13038,0.000119322,0.000119322,0.000119322
12,15.6791,0.9972,1.28311,0.98271,0.76979,0.90943,0.86276,0.49286,1.32261,2.39586,1.05684,0.00012866,0.00012866,0.00012866
13,16.4915,1.12944,1.30272,1.02124,0.73711,0.90797,0.85699,0.47083,1.40325,1.98391,1.08137,0.000137527,0.000137527,0.000137527
14,17.2302,0.99858,1.10441,0.99774,0.84219,0.80317,0.89717,0.45109,1.75902,1.90565,1.15097,0.000145922,0.000145922,0.000145922
15,17.9657,1.16301,1.12848,0.99386,0.90914,0.83774,0.93295,0.42937,1.9562,1.6917,1.18261,0.000153846,0.000153846,0.000153846
16,18.7141,1.16442,1.12096,1.09578,0.92379,0.82242,0.93167,0.29642,2.41179,1.90986,1.43353,0.000161298,0.000161298,0.000161298
17,19.4655,0.87642,0.96021,0.92234,0.7399,0.7563,0.75983,0.19309,2.81693,2.06798,1.70264,0.000168279,0.000168279,0.000168279
18,20.3117,1.87549,1.22677,1.21147,0.7399,0.7563,0.75983,0.19309,2.81693,2.06798,1.70264,0.000174788,0.000174788,0.000174788
19,21.0385,1.41388,1.03666,1.05504,0.84245,0.7892,0.82002,0.2082,2.76362,2.07816,1.69567,0.000180826,0.000180826,0.000180826
20,21.7501,0.95265,0.93966,0.98476,0.84245,0.7892,0.82002,0.2082,2.76362,2.07816,1.69567,0.000186392,0.000186392,0.000186392
